date,actual_volatility,forecasted_volatility,model
2024-01-04,0.3421974908694633,0.31111503,lstm
2024-01-05,0.3571429396046389,0.31755438,lstm
2024-01-08,0.3674819827006046,0.32331276,lstm
2024-01-09,0.3796518814120412,0.34070113,lstm
2024-01-10,0.3948860491794514,0.35724002,lstm
2024-01-11,0.40239532308232084,0.37191722,lstm
2024-01-12,0.40338968274273046,0.3778901,lstm
2024-01-15,0.4144460604200499,0.41013044,lstm
2024-01-16,0.449504902157783,0.45202097,lstm
2024-01-17,0.47508426778711643,0.50091,lstm
2024-01-18,0.4812335830515037,0.45529592,lstm
2024-01-19,0.4980422068021257,0.42142722,lstm
2024-01-22,0.4935130859962529,0.46550313,lstm
2024-01-23,0.5012719975188114,0.49072647,lstm
2024-01-24,0.5058337775139093,0.52076143,lstm
2024-01-25,0.5015834795384794,0.5284765,lstm
2024-01-26,0.503881506361377,0.5329358,lstm
2024-01-29,0.5074733413637824,0.53602684,lstm
2024-01-30,0.534165859533885,0.53575605,lstm
2024-01-31,0.5468102079265171,0.55611444,lstm
2024-02-01,0.5513309164275376,0.5654924,lstm
2024-02-02,0.5550145523782817,0.56428516,lstm
2024-02-05,0.5555678928664725,0.5688793,lstm
2024-02-06,0.5575156894035476,0.5726657,lstm
2024-02-07,0.5575373194525998,0.5768647,lstm
2024-02-08,0.5606921653543522,0.57926357,lstm
2024-02-09,0.558545252364169,0.58033437,lstm
2024-02-12,0.5542958216651848,0.57234436,lstm
2024-02-13,0.5558570421987585,0.5625692,lstm
2024-02-14,0.5439597660306527,0.5520338,lstm
2024-02-15,0.5379664296914178,0.54083866,lstm
2024-02-16,0.5309548809610359,0.52682155,lstm
2024-02-19,0.5361951572802708,0.5101354,lstm
2024-02-20,0.5342844812146389,0.51086074,lstm
2024-02-21,0.5339066815398169,0.518561,lstm
2024-02-22,0.5287463765727105,0.51916,lstm
2024-02-23,0.5268102223932849,0.5032438,lstm
2024-02-26,0.5151894683254012,0.4907449,lstm
2024-02-27,0.4840183427708852,0.4824027,lstm
2024-02-28,0.49245374949152404,0.47858083,lstm
2024-02-29,0.5274013796581543,0.5027185,lstm
2024-03-01,0.5213799515579058,0.49047118,lstm
2024-03-04,0.526791002679886,0.49166456,lstm
2024-03-05,0.5219898648913345,0.5001253,lstm
2024-03-06,0.5195127182667021,0.50379497,lstm
2024-03-07,0.5340415710631158,0.5033403,lstm
2024-03-08,0.5307509928414537,0.5122905,lstm
2024-03-11,0.5360477820661698,0.5074614,lstm
2024-03-12,0.5207245061308983,0.5098674,lstm
2024-03-13,0.511040140192739,0.51163524,lstm
2024-03-14,0.5037046484548896,0.5058357,lstm
2024-03-18,0.4963903179094764,0.49755433,lstm
2024-03-19,0.4886928960028524,0.4865196,lstm
2024-03-20,0.4867112142774931,0.47624135,lstm
2024-03-21,0.4834590276711504,0.46564254,lstm
2024-03-22,0.4786045764506717,0.45583564,lstm
2024-03-25,0.4770678723492737,0.44868848,lstm
2024-03-26,0.4593854398959264,0.442216,lstm
2024-03-27,0.4563251891790877,0.43796542,lstm
2024-03-28,0.4520277998620414,0.4332962,lstm
2024-04-02,0.44832218071306495,0.4280141,lstm
2024-04-03,0.43648308071462383,0.42393637,lstm
2024-04-04,0.4214753165382178,0.42012334,lstm
2024-04-05,0.4095392289214619,0.41580492,lstm
2024-04-08,0.4116755277149332,0.4128498,lstm
2024-04-12,0.4152212787569585,0.4074959,lstm
2024-04-15,0.41344711977224174,0.4011184,lstm
2024-04-16,0.4126021024907363,0.39681107,lstm
2024-04-17,0.38165419517058535,0.39445478,lstm
2024-04-18,0.3313151276683215,0.39191815,lstm
2024-04-19,0.3278564090806051,0.388308,lstm
2024-04-22,0.32175938228973694,0.37527886,lstm
2024-04-23,0.3540247813463885,0.36249995,lstm
2024-04-24,0.3590708836964306,0.34863743,lstm
2024-04-25,0.34250689580608484,0.33862633,lstm
2024-04-26,0.3053945147064602,0.34518927,lstm
2024-04-29,0.3058905462060544,0.36747468,lstm
2024-04-30,0.3223176514334276,0.35910073,lstm
2024-05-02,0.3197395005761282,0.34546465,lstm
2024-05-03,0.3256679396498111,0.34142393,lstm
2024-05-07,0.3370948917865935,0.34193322,lstm
2024-05-08,0.33549412907304677,0.3452155,lstm
2024-05-09,0.3462089719322223,0.34804404,lstm
2024-05-10,0.3616965364141951,0.34584457,lstm
2024-05-13,0.3594971740545231,0.34786314,lstm
2024-05-14,0.3722169539504054,0.3526795,lstm
2024-05-15,0.37115993419651616,0.35606924,lstm
2024-05-16,0.37553646766701937,0.35828102,lstm
2024-05-17,0.3673091773608817,0.36363593,lstm
2024-05-20,0.37192315915633295,0.37013474,lstm
2024-05-21,0.38129227859498827,0.37657517,lstm
2024-05-23,0.3987745507297247,0.37908745,lstm
2024-05-24,0.3963982784892493,0.38004506,lstm
2024-05-28,0.42768809792147594,0.37748167,lstm
2024-05-29,0.42970999421707684,0.3885079,lstm
2024-05-30,0.43263886016503605,0.39258596,lstm
2024-05-31,0.41726671586815567,0.40168577,lstm
2024-06-03,0.4183931960098053,0.40103865,lstm
2024-06-04,0.42715239888831613,0.40381464,lstm
2024-06-05,0.4379061902107946,0.4171398,lstm
2024-06-06,0.43425089416400076,0.42605025,lstm
2024-06-07,0.4371114269715621,0.42598423,lstm
2024-06-10,0.4342715328627034,0.4298283,lstm
2024-06-11,0.44013973971880027,0.43093207,lstm
2024-06-13,0.438945254931113,0.4354794,lstm
