Date,Open,High,Low,Close,Change_Pct,Volume
2010-09-02,24267.2,24271.33,24190.78,24203.18,-0.18,0
2010-09-03,24224.38,24315.11,24204.68,24241.84,0.16,0
2010-09-06,24270.46,24283.35,24085.15,24085.15,-0.65,0
2010-09-07,24120.3,24133.12,23918.11,23918.11,-0.69,0
2010-09-08,23957.27,23957.27,23802.79,23802.79,-0.48,0
2010-09-13,23845.24,23893.53,23531.55,23531.55,-1.14,0
2010-09-14,23589.84,23589.84,23246.1,23265.75,-1.13,0
2010-09-15,23317.85,23394.9,23274.26,23316.57,0.22,0
2010-09-16,23384.57,23384.57,22993.43,22993.43,-1.39,0
2010-09-17,23031.25,23091.79,22993.77,22993.77,0.0,0
2010-09-20,23047.78,23063.03,22879.33,22879.33,-0.5,0
2010-09-21,22946.08,23082.83,22856.71,22856.71,-0.1,0
2010-09-22,22926.78,22926.78,22732.59,22771.69,-0.37,0
2010-09-23,22842.7,22878.49,22712.8,22712.8,-0.26,0
2010-09-24,22785.73,22803.82,22689.09,22689.09,-0.1,0
2010-09-27,22781.56,22785.73,22407.5,22407.5,-1.24,0
2010-09-28,22783.17,22817.02,22429.09,22429.09,0.1,0
2010-09-29,22803.07,23224.57,22674.43,22674.43,1.09,0
2010-09-30,23088.67,23465.68,23050.59,23050.59,1.66,0
2010-10-04,23090.05,23763.6,23059.58,23747.81,3.02,0
2010-10-05,23793.23,24263.01,23761.27,24263.01,2.17,0
2010-10-06,24308.31,24351.36,24009.62,24035.92,-0.94,0
2010-10-07,24043.47,24064.57,23623.81,23623.81,-1.71,0
2010-10-08,23682.73,23842.41,23444.06,23772.4,0.63,0
2010-10-11,23832.01,24283.43,23831.26,24206.5,1.83,0
2010-10-12,24271.88,24511.32,24271.88,24430.2,0.92,0
2010-10-13,24431.48,24526.95,24411.87,24439.37,0.04,0
2010-10-14,24417.82,24487.29,24379.47,24485.17,0.19,0
2010-10-15,24484.85,25096.03,24484.63,25077.73,2.42,0
2010-10-18,25078.47,25412.89,25077.73,25278.23,0.8,0
2010-10-19,25277.9,25422.07,25210.04,25210.04,-0.27,0
2010-10-20,25212.02,25228.41,24861.61,24891.72,-1.26,0
2010-10-21,24893.96,24898.21,24511.96,24537.02,-1.42,0
2010-10-22,24540.71,24991.84,24505.36,24978.7,1.8,0
2010-10-25,25021.79,25243.25,24978.7,25065.46,0.35,0
2010-10-26,25058.08,25087.55,24895.26,24973.38,-0.37,0
2010-10-27,24973.26,24999.84,24915.25,24996.14,0.09,0
2010-10-28,24999.98,25093.38,24977.88,25067.75,0.29,0
2010-10-29,25112.98,25176.05,25019.61,25042.16,-0.1,0
2010-11-01,25134.3,25170.08,25042.16,25102.2,0.24,0
2010-11-02,25107.26,25180.77,24798.37,24804.22,-1.19,0
2010-11-03,24804.22,24859.42,24453.46,24782.89,-0.09,0
2010-11-04,24785.71,24878.08,24782.9,24822.03,0.16,0
2010-11-05,24822.16,24864.04,24768.42,24800.47,-0.09,0
2010-11-08,24794.93,24857.1,24727.83,24728.08,-0.29,0
2010-11-09,24750.87,25394.15,24697.98,25383.37,2.65,0
2010-11-10,25385.28,25544.23,25231.48,25416.21,0.13,0
2010-11-11,25429.7,25897.03,25319.97,25891.13,1.87,0
2010-11-12,25894.42,26014.31,25359.46,25367.83,-2.02,0
2010-11-15,25378.18,25420.36,25301.34,25301.34,-0.26,0
2010-11-18,25306.27,25308.83,25166.43,25184.13,-0.46,0
2010-11-19,25184.13,25184.13,24942.83,24959.95,-0.89,0
2010-11-22,25960.72,25960.72,24880.86,24880.86,-0.32,0
2010-11-23,25877.6,25877.6,24626.98,24626.98,-1.02,0
2010-11-24,24627.12,24627.12,24450.24,24462.73,-0.67,0
2010-11-25,24462.68,24559.25,24348.58,24529.56,0.27,0
2010-11-26,24529.56,24618.14,24512.66,24611.56,0.33,0
2010-11-29,24616.07,24690.02,24573.77,24665.5,0.22,0
2010-11-30,24665.36,24777.33,24580.18,24764.65,0.4,0
2010-12-01,24765.0,24869.06,24744.17,24856.08,0.37,0
2010-12-02,24856.84,24954.42,24851.36,24942.38,0.35,0
2010-12-03,24944.41,24948.33,24801.84,24807.04,-0.54,0
2010-12-06,24784.58,24836.88,24734.89,24785.56,-0.09,0
2010-12-07,24785.56,24790.66,24585.84,24638.17,-0.59,0
2010-12-08,24632.56,24685.5,24593.06,24681.17,0.17,0
2010-12-09,24684.16,24702.23,24577.0,24601.28,-0.32,0
2010-12-10,24596.69,24600.95,24444.38,24445.05,-0.64,0
2010-12-13,24444.29,24522.69,24224.55,24287.5,-0.64,0
2010-12-14,24282.26,24307.3,24225.92,24306.83,0.08,0
2010-12-15,24327.37,24519.39,24302.67,24511.04,0.84,0
2010-12-16,24511.29,24566.67,24395.04,24438.79,-0.29,0
2010-12-17,24438.58,24614.11,24351.07,24444.28,0.02,0
2010-12-20,24442.07,24566.79,24384.87,24420.25,-0.1,0
2010-12-21,24419.36,24458.92,24385.48,24410.97,-0.04,0
2010-12-22,24410.4,24592.12,24398.71,24591.58,0.74,0
2010-12-23,24591.79,24713.16,24583.08,24699.29,0.44,0
2010-12-24,24700.15,24727.11,24653.92,24689.16,-0.04,0
2010-12-29,24686.6,24811.89,24674.84,24733.57,0.18,0
2010-12-30,24755.93,24808.44,24739.31,24767.26,0.14,0
2010-12-31,24771.09,24792.93,24708.17,24770.52,0.01,0
2011-01-04,24771.86,25119.86,24768.44,25102.93,1.34,0
2011-01-05,25706.13,26034.97,25102.85,25981.58,3.5,0
2011-01-06,25986.26,26517.7,25981.58,26502.56,2.01,0
2011-01-07,26504.85,26668.54,26030.97,26168.72,-1.26,0
2011-01-10,26168.72,26180.85,25950.66,26003.68,-0.63,0
2011-01-11,26003.68,26147.48,25991.8,26137.46,0.51,0
2011-01-12,26142.51,26522.75,26122.06,26515.15,1.45,0
2011-01-13,26517.25,27047.02,26515.15,27015.65,1.89,0
2011-01-14,27015.52,27308.59,27015.52,27269.3,0.94,0
2011-01-17,27266.92,27346.87,27067.08,27130.17,-0.51,0
2011-01-18,27130.24,27130.24,26884.56,26953.8,-0.65,0
2011-01-19,26951.25,27261.93,26906.69,27245.1,1.08,0
2011-01-20,27244.46,27529.58,27244.46,27515.25,0.99,0
2011-01-24,27684.45,27784.98,27629.07,27770.11,0.93,0
2011-01-25,27776.1,27839.61,27723.68,27797.38,0.1,0
2011-01-26,27796.46,27818.71,27721.56,27769.52,-0.1,0
2011-01-27,27767.88,27780.99,27547.08,27568.96,-0.72,0
2011-01-28,27567.38,27579.97,27306.25,27356.59,-0.77,0
2011-01-31,27354.0,27355.05,26822.32,26827.28,-1.93,0
2011-02-01,26825.71,26830.67,26375.62,26723.49,-0.39,0
2011-02-02,26720.55,26932.3,26672.16,26928.67,0.77,0
2011-02-03,26948.12,27015.86,26870.03,26895.35,-0.12,0
2011-02-04,26892.95,26902.03,26733.9,26763.84,-0.49,0
2011-02-07,26760.99,26809.33,26658.68,26672.57,-0.34,0
2011-02-08,26669.08,26673.69,26294.25,26413.26,-0.97,0
2011-02-09,26408.66,26702.28,26346.52,26685.3,1.03,0
2011-02-10,26681.74,26683.37,26581.03,26607.98,-0.29,0
2011-02-11,26605.72,26756.4,26563.07,26684.49,0.29,0
2011-02-14,26682.1,26696.77,26595.71,26598.41,-0.32,0
2011-02-16,26595.71,26624.15,26444.65,26468.58,-0.49,0
2011-02-17,26468.77,26627.86,26414.9,26627.29,0.6,0
2011-02-18,26628.25,26655.16,26558.45,26639.35,0.05,0
2011-02-21,26642.61,26818.71,26639.99,26709.32,0.26,0
2011-02-22,26709.63,26762.73,26674.86,26747.04,0.14,0
2011-02-23,26746.57,26752.22,26665.32,26713.73,-0.12,0
2011-02-24,26714.03,26715.97,26186.82,26217.28,-1.86,0
2011-02-25,26209.17,26215.68,26022.9,26181.18,-0.14,0
2011-02-28,26178.7,26186.77,25854.28,26016.84,-0.63,0
2011-03-01,26014.52,26014.56,25724.74,25871.22,-0.56,0
2011-03-02,25869.32,25869.32,25622.11,25688.42,-0.71,0
2011-03-03,25687.62,25712.81,25477.19,25541.74,-0.57,0
2011-03-04,25539.81,25541.53,25318.9,25357.84,-0.72,0
2011-03-07,25356.0,25378.03,25211.76,25243.93,-0.45,0
2011-03-08,25244.52,25246.29,24927.0,25174.24,-0.28,0
2011-03-09,25166.78,25252.75,25082.5,25224.98,0.2,0
