"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2025","4.20","4.28","4.27","4.20","1.48M","-1.87%"
"01/12/2025","4.28","3.92","4.28","3.92","2.23M","9.18%"
"28/11/2025","3.92","4.35","4.35","3.92","5.83M","-9.89%"
"27/11/2025","4.35","4.35","4.35","4.35","101.62K","0.00%"
"26/11/2025","4.35","4.18","4.35","4.10","7.41M","-0.68%"
"25/11/2025","4.38","4.60","4.38","4.18","2.48M","-4.78%"
"24/11/2025","4.60","4.60","4.60","4.60","1.13M","0.00%"
"21/11/2025","4.60","4.60","4.87","4.60","1.31M","0.00%"
"20/11/2025","4.60","4.60","4.60","4.60","115.82K","0.00%"
"19/11/2025","4.60","4.60","4.60","4.60","68.83K","0.00%"
"18/11/2025","4.60","4.60","4.60","4.60","867.98K","0.00%"
"17/11/2025","4.60","4.70","4.68","4.60","1.00M","-2.13%"
"14/11/2025","4.70","4.51","4.70","4.70","699.33K","4.21%"
"13/11/2025","4.51","4.51","4.51","4.51","117.94K","0.00%"
"12/11/2025","4.51","4.40","4.55","4.40","2.25M","4.88%"
"11/11/2025","4.30","4.40","4.30","4.30","1.17M","-2.27%"
"10/11/2025","4.40","4.55","4.55","4.40","1.93M","-3.30%"
"07/11/2025","4.55","4.80","4.55","4.55","1.04M","-5.21%"
"06/11/2025","4.80","4.95","4.80","4.80","819.73K","-3.03%"
"05/11/2025","4.95","4.96","4.95","4.91","1.11M","-0.20%"
"04/11/2025","4.96","4.51","4.96","4.80","1.03M","9.98%"
"03/11/2025","4.51","4.51","4.51","4.51","138.93K","0.00%"
"31/10/2025","4.51","5.01","4.86","4.51","1.44M","-9.98%"
"30/10/2025","5.01","5.01","5.01","5.01","710.76K","0.00%"
"29/10/2025","5.01","5.15","5.30","5.00","3.22M","-2.72%"
"28/10/2025","5.15","5.50","5.15","5.15","585.67K","-6.36%"
"27/10/2025","5.50","5.20","5.50","5.40","952.32K","5.77%"
"24/10/2025","5.20","5.30","5.20","5.20","640.70K","-1.89%"
"23/10/2025","5.30","5.30","5.30","5.30","178.82K","0.00%"
"22/10/2025","5.30","5.30","5.30","5.23","372.62K","0.00%"
"21/10/2025","5.30","5.30","5.30","5.30","482.51K","0.00%"
"20/10/2025","5.30","5.25","5.30","5.30","851.08K","0.95%"
"17/10/2025","5.25","5.21","5.25","5.20","2.20M","0.77%"
"16/10/2025","5.21","5.77","5.21","5.21","845.51K","-9.71%"
"15/10/2025","5.77","5.77","5.77","5.77","350.69K","0.00%"
"14/10/2025","5.77","5.77","5.77","5.77","246.53K","0.00%"
"13/10/2025","5.77","5.77","5.77","5.77","439.24K","0.00%"
"10/10/2025","5.77","5.77","5.77","5.77","129.99K","0.00%"
"09/10/2025","5.77","5.25","5.77","5.77","1.16M","9.90%"
"08/10/2025","5.25","5.80","5.30","5.25","1.19M","-9.48%"
"07/10/2025","5.80","5.80","5.80","5.80","656.23K","0.00%"
"06/10/2025","5.80","5.70","5.80","5.15","1.71M","1.75%"
"03/10/2025","5.70","5.80","5.70","5.70","565.68K","-1.72%"
"02/10/2025","5.80","5.99","5.80","5.80","761.18K","-3.17%"
"30/09/2025","5.99","5.75","5.99","5.26","3.43M","4.17%"
"29/09/2025","5.75","5.79","5.75","5.25","1.68M","-0.69%"
"26/09/2025","5.79","5.37","5.79","5.79","910.80K","7.82%"
"25/09/2025","5.37","5.37","5.37","5.37","613.58K","0.00%"
"24/09/2025","5.37","5.37","5.37","5.08","952.99K","0.00%"
"23/09/2025","5.37","5.37","5.37","5.37","701.65K","0.00%"
"22/09/2025","5.37","5.37","5.37","5.37","698.57K","0.00%"
"19/09/2025","5.37","5.70","5.38","5.37","1.19M","-5.79%"
"18/09/2025","5.70","5.70","5.70","5.70","443.06K","0.00%"
"17/09/2025","5.70","5.90","5.70","5.31","2.67M","-3.39%"
"16/09/2025","5.90","5.90","5.90","5.90","433.12K","0.00%"
"15/09/2025","5.90","5.90","5.90","5.90","247.00K","0.00%"
"12/09/2025","5.90","5.99","5.98","5.90","1.05M","-1.50%"
"11/09/2025","5.99","5.99","5.99","5.98","969.49K","0.00%"
"10/09/2025","5.99","5.50","5.99","5.99","450.96K","8.91%"
"09/09/2025","5.50","5.50","5.50","5.50","674.20K","0.00%"
"08/09/2025","5.50","5.50","5.50","5.50","882.07K","0.00%"
"04/09/2025","5.50","5.01","5.50","5.30","723.46K","9.78%"
"03/09/2025","5.01","5.54","5.01","5.01","448.50K","-9.57%"
"02/09/2025","5.54","5.54","5.54","5.54","598.22K","0.00%"
"01/09/2025","5.54","5.54","5.54","5.54","834.26K","0.00%"
"29/08/2025","5.54","5.54","5.65","5.54","836.23K","0.00%"
"28/08/2025","5.54","5.92","5.60","5.54","1.33M","-6.42%"
"27/08/2025","5.92","5.95","5.92","5.41","2.09M","-0.50%"
"26/08/2025","5.95","6.05","6.00","5.95","1.85M","-1.65%"
"25/08/2025","6.05","6.04","6.06","6.05","1.70M","0.17%"
"22/08/2025","6.04","5.70","6.20","5.22","4.29M","5.96%"
"21/08/2025","5.70","5.80","5.70","5.70","1.15M","-1.72%"
"20/08/2025","5.80","6.21","5.80","5.80","1.42M","-6.60%"
"19/08/2025","6.21","6.80","7.00","6.21","5.05M","-8.68%"
"18/08/2025","6.80","6.19","6.80","6.19","7.53M","9.85%"
"15/08/2025","6.19","6.65","6.65","5.72","5.13M","-2.52%"
"14/08/2025","6.35","7.20","7.31","5.99","41.76M","-4.51%"
"13/08/2025","6.65","6.65","6.65","6.65","4.53M","9.92%"
"12/08/2025","6.05","5.50","6.05","6.00","13.54M","10.00%"
"11/08/2025","5.50","5.00","5.50","4.95","15.34M","10.00%"
"08/08/2025","5.00","5.18","5.40","4.67","26.65M","-3.47%"
"07/08/2025","5.18","5.85","5.85","5.18","34.04M","-2.63%"
"06/08/2025","5.32","5.32","5.32","5.32","9.02M","9.92%"
"05/08/2025","4.84","4.40","4.84","4.60","13.22M","10.00%"
"04/08/2025","4.40","4.44","4.40","4.40","1.21M","-0.90%"
"01/08/2025","4.44","4.50","4.44","4.43","1.35M","-1.33%"
"31/07/2025","4.50","4.14","4.50","4.35","5.02M","8.70%"
"30/07/2025","4.14","4.58","4.48","4.14","11.72M","-9.61%"
"29/07/2025","4.58","4.64","4.66","4.18","13.44M","-1.29%"
"28/07/2025","4.64","4.64","4.80","4.46","4.12M","0.00%"
"25/07/2025","4.64","4.97","4.97","4.48","18.84M","-6.64%"
"24/07/2025","4.97","4.65","4.97","4.65","1.08M","6.88%"
"23/07/2025","4.65","5.00","4.85","4.60","1.91M","-7.00%"
"22/07/2025","5.00","4.90","5.00","4.80","1.33M","2.04%"
"21/07/2025","4.90","5.00","5.00","4.90","3.80M","-2.00%"
"18/07/2025","5.00","5.02","5.00","5.00","1.46M","-0.40%"
"17/07/2025","5.02","4.99","5.02","4.95","1.62M","0.60%"
"16/07/2025","4.99","5.00","5.10","4.99","1.95M","-0.20%"
"14/07/2025","5.00","4.79","5.25","4.90","6.39M","4.38%"
"11/07/2025","4.79","4.94","5.13","4.45","9.86M","-3.04%"
"10/07/2025","4.94","4.64","4.94","4.80","2.99M","6.47%"
"09/07/2025","4.64","4.22","4.64","4.20","7.54M","9.95%"
"08/07/2025","4.22","4.50","4.79","4.05","12.22M","-6.22%"
"07/07/2025","4.50","5.00","4.94","4.50","19.16M","-10.00%"
"04/07/2025","5.00","4.99","5.00","5.00","1.13M","0.20%"
"03/07/2025","4.99","4.99","4.99","4.99","201.27K","0.00%"
"02/07/2025","4.99","4.99","4.99","4.99","595.76K","0.00%"
"01/07/2025","4.99","5.14","4.99","4.99","1.41M","-2.92%"
"30/06/2025","5.14","5.00","5.14","5.14","4.28M","2.80%"
"27/06/2025","5.00","5.12","5.00","4.95","2.55M","-2.34%"
"26/06/2025","5.12","5.11","5.12","4.81","2.27M","0.20%"
"25/06/2025","5.11","5.00","5.11","4.80","2.90M","2.20%"
"24/06/2025","5.00","4.95","5.00","5.00","2.80M","1.01%"
"23/06/2025","4.95","4.56","4.95","4.95","1.50M","8.55%"
"20/06/2025","4.56","4.99","4.56","4.55","2.55M","-8.62%"
"19/06/2025","4.99","5.23","4.99","4.71","2.19M","-4.59%"
"18/06/2025","5.23","5.23","5.23","5.23","527.61K","0.00%"
"17/06/2025","5.23","5.23","5.23","5.23","149.12K","0.00%"
"16/06/2025","5.23","5.23","5.23","5.23","603.88K","0.00%"
"13/06/2025","5.23","5.23","5.23","5.23","477.16K","0.00%"
"11/06/2025","5.23","5.23","5.23","5.23","1.73M","0.00%"
"10/06/2025","5.23","5.23","5.23","5.23","384.61K","0.00%"
"06/06/2025","5.23","5.23","5.23","5.23","","0.00%"
"05/06/2025","5.23","5.23","5.23","5.23","512.74K","0.00%"
"04/06/2025","5.23","5.30","5.23","5.23","1.59M","-1.32%"
"03/06/2025","5.30","5.30","5.30","5.30","945.67K","0.00%"
"02/06/2025","5.30","5.30","5.30","5.30","1.66M","-1.85%"
"30/05/2025","5.40","5.40","5.40","4.88","1.88M","0.00%"
"29/05/2025","5.40","5.25","5.40","5.40","1.06M","2.86%"
"28/05/2025","5.25","4.90","5.25","5.25","971.27K","7.14%"
"27/05/2025","4.90","4.90","4.90","4.90","105.91K","0.00%"
"26/05/2025","4.90","4.90","4.90","4.90","952.64K","0.00%"
"23/05/2025","4.90","4.90","4.90","4.90","245.57K","0.00%"
"22/05/2025","4.90","4.90","4.90","4.90","519.94K","0.00%"
"21/05/2025","4.90","4.90","4.90","4.90","1.20M","0.00%"
"20/05/2025","4.90","4.91","4.90","4.90","1.71M","-0.20%"
"19/05/2025","4.91","5.34","4.94","4.91","813.38K","-8.05%"
"16/05/2025","5.34","5.34","5.34","5.34","181.93K","0.00%"
"15/05/2025","5.34","5.34","5.34","5.34","321.35K","0.00%"
"14/05/2025","5.34","5.34","5.34","5.34","155.24K","0.00%"
"13/05/2025","5.34","5.25","5.34","5.00","1.50M","1.71%"
"12/05/2025","5.25","4.99","5.25","4.99","885.03K","5.21%"
"09/05/2025","4.99","5.35","4.99","4.99","730.80K","-6.73%"
"08/05/2025","5.35","4.88","5.35","5.35","1.27M","9.63%"
"07/05/2025","4.88","4.93","4.88","4.44","3.44M","-1.01%"
"06/05/2025","4.93","4.93","4.93","4.93","232.93K","0.00%"
"05/05/2025","4.93","4.93","4.93","4.93","294.01K","0.00%"
"02/05/2025","4.93","4.79","4.93","4.93","876.25K","2.92%"
"30/04/2025","4.79","4.90","4.89","4.79","1.70M","-2.24%"
"29/04/2025","4.90","5.20","4.90","4.70","6.51M","-5.77%"
"28/04/2025","5.20","5.20","5.20","5.20","90.71K","0.00%"
"25/04/2025","5.20","5.20","5.20","5.20","188.70K","0.00%"
"24/04/2025","5.20","5.20","5.20","5.20","93.99K","0.00%"
"23/04/2025","5.20","5.00","5.20","4.68","936.98K","4.00%"
"22/04/2025","5.00","5.00","5.00","5.00","123.64K","0.00%"
"17/04/2025","5.00","5.55","5.00","5.00","838.69K","-9.91%"
"16/04/2025","5.55","5.50","5.55","5.55","1.22M","0.91%"
"15/04/2025","5.50","5.50","5.50","5.50","995.80K","0.00%"
"14/04/2025","5.50","5.50","5.50","5.50","82.07K","0.00%"
"11/04/2025","5.50","5.50","5.50","5.50","48.40K","0.00%"
"10/04/2025","5.50","5.19","5.50","5.50","423.52K","5.97%"
"09/04/2025","5.19","5.19","5.19","5.19","63.48K","0.00%"
"08/04/2025","5.19","5.19","5.19","5.19","56.79K","0.00%"
"07/04/2025","5.19","5.76","5.19","5.19","656.54K","-9.90%"
"04/04/2025","5.76","5.99","5.76","5.40","639.19K","-3.84%"
"03/04/2025","5.99","5.99","5.99","5.99","901.09K","0.00%"
"02/04/2025","5.99","6.65","5.99","5.99","416.74K","-9.92%"
"28/03/2025","6.65","6.50","6.65","6.05","3.75M","2.31%"
"27/03/2025","6.50","6.30","6.50","6.26","4.10M","3.17%"
"26/03/2025","6.30","5.85","6.30","6.30","1.22M","7.69%"
"25/03/2025","5.85","5.45","5.85","5.59","1.62M","7.34%"
"24/03/2025","5.45","4.99","5.48","5.00","3.70M","9.22%"
"21/03/2025","4.99","4.99","4.99","4.99","141.15K","0.00%"
"20/03/2025","4.99","5.00","4.99","4.56","750.39K","-0.20%"
"19/03/2025","5.00","5.00","5.00","5.00","152.95K","0.00%"
"18/03/2025","5.00","4.63","5.00","5.00","652.42K","7.99%"
